VideoID,VideoTitle,Views,Likes,Dislikes,Comments,DurationinMinutes
82,Dapibus Gravida Company,1590114,1553,1788,4042,92
33,Tempus Non Lacinia LLP,2243297,1449,1788,1394,86
46,Massa Integer Vitae LLC,2739980,1424,311,873,72
67,Iaculis Odio Nam Foundation,3263429,669,1362,2872,62
108,Pellentesque Foundation,3427423,1551,112,2378,173
111,Augue PC,3619013,1904,351,2098,109
26,Magna LLC,4144445,1685,927,1439,76
29,Mus Proin PC,6028144,71,408,329,69
35,Quam A LLP,6141681,1314,819,3075,146
3,Placerat Eget Venenatis Incorporated,6303400,1931,204,4530,212
76,Ante Corp.,6855104,1031,145,1592,28
149,Vitae Nibh Donec Institute,8471174,1801,409,1762,63
74,Mollis Inc.,8912993,908,181,1302,215
190,Ligula Inc.,9065477,1634,952,3998,41
126,Eget Metus Inc.,9254990,1320,623,1377,161
141,A Corp.,9291102,206,919,476,31
185,Elit Dictum Eu Foundation,10280621,246,1715,1145,189
154,Scelerisque Consulting,10548367,1164,1247,148,217
189,Sodales Corp.,11370151,12,1501,490,74
52,Luctus Consulting,12049065,1647,164,1478,4
91,Lobortis Tellus Justo Foundation,12530726,1530,1844,681,150
85,Et Euismod Et Ltd,12840472,597,302,3497,22
179,Lectus Ltd,13205261,7,1429,668,53
161,Senectus Incorporated,14889820,566,1212,4053,210
156,Eu Accumsan Ltd,16032992,1230,902,3246,137
21,Neque Inc.,16586299,1410,434,2812,104
182,Ut Tincidunt Vehicula Associates,16972499,1648,1719,2267,135
103,Nulla Cras Eu Incorporated,17523248,983,760,3738,97
168,Neque Industries,17652117,720,457,3140,218
37,Erat Eget Foundation,18391343,754,1131,1440,100
169,Mattis Integer Eu Corporation,18404678,1151,1175,1648,70
4,Molestie Sed Id Company,18551260,569,1639,1946,223
30,At LLC,18633829,370,492,231,156
28,Pede Nunc Inc.,19008041,1297,479,3990,124
143,Et Netus Foundation,20098313,1300,979,1376,115
101,Per Company,20982492,1592,714,3384,129
96,Porttitor Associates,21031289,333,653,4511,87
194,Cum Corp.,21818767,1731,246,4334,147
175,Amet Risus Donec Ltd,23482043,1659,268,3486,38
98,Metus Sit Amet PC,23623893,1452,1839,2000,55
168,Nulla Facilisis Ltd,23656748,617,516,4427,38
28,Sed Congue Corp.,25011995,1091,1399,2226,156
33,A Industries,25534427,334,1177,4648,132
14,Accumsan Neque Associates,26321309,198,732,4890,178
174,Dolor Tempus Non Foundation,27864700,1479,367,3382,205
110,Amet Ornare Ltd,28043800,1424,1553,469,95
161,Metus Vitae Associates,28202556,1020,1134,189,92
117,Dictum Phasellus In Ltd,29659673,823,160,2626,50
88,Etiam Bibendum Inc.,29738605,1859,246,1821,127
183,A Corporation,31605905,1681,377,2432,36
78,Non Enim Industries,33178314,1261,681,1600,32
89,Ac Turpis Institute,34428644,896,250,1316,138
58,Mauris Corp.,34651794,1060,1480,3342,223
146,Morbi Corporation,38767788,885,1322,1873,135
134,Malesuada Augue Company,39835630,312,951,2257,56
46,Dolor Industries,39876028,346,107,2089,89
104,Curabitur Vel Lectus Foundation,40240378,65,186,2204,196
148,Eu Dolor Ltd,42534630,1211,111,3398,111
137,Ornare Consulting,42548203,853,372,358,175
125,Pellentesque Tellus Foundation,42555886,455,411,1503,138
71,Ante Institute,42559320,919,1646,2281,84
135,At Consulting,46924207,864,1624,1392,208
149,Cursus Et Corporation,48205908,679,43,928,141
72,Pede Incorporated,48263728,859,1887,2572,94
105,Ut Quam Vel Corporation,51539040,1185,886,2418,170
101,Lobortis Institute,53975681,38,482,1549,6
134,Feugiat Sed PC,54582253,24,805,3174,105
114,Fusce Dolor Company,55261832,1812,298,4831,138
5,Auctor LLC,55329680,418,210,1763,203
192,Cras Convallis Institute,55574789,1144,1714,2681,59
168,Sociis Natoque Consulting,56269838,158,455,3600,182
121,Donec Ltd,56470767,1255,750,2031,174
192,Dui LLP,56704294,771,1395,1608,197
53,Molestie Orci PC,56995796,659,942,2497,7
192,Nunc Commodo Auctor LLP,57365121,1173,436,3411,132
106,Velit Aliquam Nisl LLC,59775887,1669,981,614,75
28,Est Tempor Bibendum Foundation,60317784,1584,1151,4582,138
104,Magna Praesent PC,60547263,169,1000,2851,135
68,Elit Consulting,61399426,1628,750,3202,206
156,Nec Ante Blandit PC,61960500,572,1027,3867,163
186,Maecenas Limited,63484139,1161,319,1532,2
63,Facilisis Magna Consulting,66346059,1523,1387,1475,29
66,Maecenas Corp.,67252939,1964,1645,614,101
46,Sit Associates,68013210,1729,728,150,142
111,Ridiculus Associates,68150771,590,759,4398,61
191,Pede Consulting,69281647,1472,1184,4492,198
136,Neque Institute,70382405,1450,342,4441,44
142,Nunc Industries,71616213,1594,438,553,185
29,Mi LLP,71781047,1598,751,3283,90
149,Nec Ltd,74053639,1719,590,1218,228
123,In Faucibus PC,78232558,28,770,2206,9
73,Mauris Eu Turpis Limited,79740988,180,1838,770,215
16,Varius Consulting,83875499,1002,552,2300,114
7,Semper Institute,87286674,1336,1559,279,116
75,Dolor Nonummy Ac Corporation,87363206,528,1991,2972,231
175,Urna Associates,90323679,1354,299,3746,102
168,Nulla Industries,92158204,65,946,819,79
46,Nunc Ullamcorper PC,95070918,655,1010,3063,106
132,Tincidunt Pede Ac Industries,98008381,1302,1978,1594,4
3,Sem Mollis Company,99532514,1763,1042,3758,98
